"Experiment","CPU Time(Secs)","Method Name"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.createGenerator()"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.createGenerator()"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.verifySGeneratorOfQRN(java.math.BigInteger, java.math.BigInteger)"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.util.GSUtils.verifySGeneratorOfQRN(java.math.BigInteger, java.math.BigInteger)"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.util.NumberConstants.<clinit>()"
"test.18.er","12.749","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.18.er","12.629","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.18.er","12.619","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.18.er","12.619","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.18.er","12.219","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.18.er","0.400","eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(java.math.BigInteger)"
"test.18.er","0.100","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.18.er","0.100","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.18.er","0.100","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.18.er","0.100","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomNumberWithFactors(java.math.BigInteger)"
"test.18.er","0.100","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
"test.18.er","0.020","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.18.er","0.020","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.18.er","0.010","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFactory.getInstance(java.lang.String)"
"test.18.er","0.010","eu.prismacloud.primitives.zkpgs.util.GSUtils.createRandomNumber(java.math.BigInteger, java.math.BigInteger)"
"test.18.er","0.010","eu.prismacloud.primitives.zkpgs.util.GSUtils.<init>()"
"test.19.er","13.029","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.19.er","12.979","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.19.er","12.969","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.19.er","12.969","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.19.er","12.649","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.19.er","0.310","eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(java.math.BigInteger)"
"test.19.er","0.020","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.19.er","0.020","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.19.er","0.020","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.19.er","0.020","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomNumberWithFactors(java.math.BigInteger)"
"test.19.er","0.020","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.EEAlgorithm.computeEEAlgorithm(java.math.BigInteger, java.math.BigInteger)"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.computeEEA(java.math.BigInteger, java.math.BigInteger)"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.<init>(java.math.BigInteger, java.math.BigInteger)"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.SafePrime.<clinit>()"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFactory.getInstance(java.lang.String)"
"test.19.er","0.010","eu.prismacloud.primitives.zkpgs.util.GSUtils.createRandomNumber(java.math.BigInteger, java.math.BigInteger)"
"test.1.er","10.908","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.1.er","9.797","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.1.er","9.797","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.1.er","9.797","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.1.er","9.577","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.1.er","1.081","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.1.er","1.081","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.1.er","1.021","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.1.er","1.021","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
"test.1.er","0.961","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomNumberWithFactors(java.math.BigInteger)"
"test.1.er","0.310","eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(java.math.BigInteger)"
"test.1.er","0.080","eu.prismacloud.primitives.zkpgs.util.GSUtils.createRandomNumber(java.math.BigInteger, java.math.BigInteger)"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.createGenerator()"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.createGenerator()"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.SafePrime.<clinit>()"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.verifySGeneratorOfQRN(java.math.BigInteger, java.math.BigInteger)"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.GSUtils.createCommitmentGroupGenerator(java.math.BigInteger, java.math.BigInteger)"
"test.1.er","0.010","eu.prismacloud.primitives.zkpgs.util.GSUtils.verifySGeneratorOfQRN(java.math.BigInteger, java.math.BigInteger)"
"test.20.er","18.833","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.20.er","18.353","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.20.er","18.343","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.20.er","18.343","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.20.er","17.822","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.20.er","0.560","eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(java.math.BigInteger)"
"test.20.er","0.440","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.20.er","0.440","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.20.er","0.430","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.20.er","0.430","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
"test.20.er","0.390","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomNumberWithFactors(java.math.BigInteger)"
"test.20.er","0.020","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.20.er","0.020","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.20.er","0.020","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.createGenerator()"
"test.20.er","0.020","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.createGenerator()"
"test.20.er","0.020","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.createElementOfZNS(java.math.BigInteger)"
"test.20.er","0.020","eu.prismacloud.primitives.zkpgs.util.GSUtils.createElementOfZNS(java.math.BigInteger)"
