"Benchmark","Mode","Score","Unit","Param: l_n"
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.870966,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.815069,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.812662,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.890991,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.874777,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.870798,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.886197,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.839070,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.844103,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.840925,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.856455,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.856766,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.269337,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.255026,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.218901,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.278722,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.271456,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.279127,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.238153,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.248964,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.245785,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.243146,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.243111,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.260890,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.246156,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.271514,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.247322,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.239850,"ops/s",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",0.262536,"ops/s",1024
